code;libelle;level;parentCode;isLeaf;pathCodes
BlockL1-DB3;Affections du gros intestin;L2;N13;FALSE;N13 | BlockL1-DB3
BlockL1-DB5;Maladies du canal anal;L2;N13;FALSE;N13 | BlockL1-DB5
BlockL1-DB9;Maladies du foie;L2;N13;FALSE;N13 | BlockL1-DB9
BlockL1-DC1;Maladies de la vésicule biliaire ou des voies biliaires;L2;N13;FALSE;N13 | BlockL1-DC1
BlockL1-DC3;Maladies du pancréas;L2;N13;FALSE;N13 | BlockL1-DC3
BlockL1-DC5;Maladies du péritoine;L2;N13;FALSE;N13 | BlockL1-DC5
BlockL1-DC7;Maladie diverticulaire de l'intestin;L2;N13;FALSE;N13 | BlockL1-DC7
BlockL1-DD3;Troubles vasculaires ischémiques de l'intestin;L2;N13;FALSE;N13 | BlockL1-DD3
BlockL1-DD5;Hernies;L2;N13;FALSE;N13 | BlockL1-DD5
BlockL1-DD7;Maladies inflammatoires de l'intestin;L2;N13;FALSE;N13 | BlockL1-DD7
BlockL1-DD9;Troubles gastro-intestinaux fonctionnels;L2;N13;FALSE;N13 | BlockL1-DD9
BlockL1-DE1;Affections de l'appareil digestif après un acte à visée diagnostique ou thérapeutique;L2;N13;FALSE;N13 | BlockL1-DE1
BlockL1-EA0;Certaines affections cutanées imputables à une infection ou à une infestation;L2;N14;FALSE;N14 | BlockL1-EA0
BlockL1-EA8;Dermatoses inflammatoires;L2;N14;FALSE;N14 | BlockL1-EA8
BlockL1-EB9;Affections métaboliques ou nutritionnelles affectant la peau;L2;N14;FALSE;N14 | BlockL1-EB9
BlockL1-EC1;Affections génétiques ou troubles du développement affectant la peau;L2;N14;FALSE;N14 | BlockL1-EC1
BlockL1-EC9;Troubles sensoriels ou psychologiques affectant la peau;L2;N14;FALSE;N14 | BlockL1-EC9
BlockL1-ED5;Affections cutanées intéressant des structures cutanées spécifiques;L2;N14;FALSE;N14 | BlockL1-ED5
BlockL1-EG3;Affections cutanés intéressant certaines régions spécifiques du corps;L2;N14;FALSE;N14 | BlockL1-EG3
BlockL1-EH1;Affections cutanées associées à la grossesse, à la période néonatale ou à la petite enfance;L2;N14;FALSE;N14 | BlockL1-EH1
BlockL1-EH6;Réactions cutanées indésirables aux médicaments;L2;N14;FALSE;N14 | BlockL1-EH6
BlockL1-EH9;Affections cutanés provoquées par des facteurs externes;L2;N14;FALSE;N14 | BlockL1-EH9
BlockL1-EK7;Proliférations bénignes, tumeurs et kystes de la peau;L2;N14;FALSE;N14 | BlockL1-EK7
BlockL1-EK9;Affections de la peau à potentiel malin incertain ou imprévisible;L2;N14;FALSE;N14 | BlockL1-EK9
BlockL1-EL1;Marqueurs cutanés de troubles internes;L2;N14;FALSE;N14 | BlockL1-EL1
BlockL1-EL5;Affections cutanées après un acte à visée diagnostique ou thérapeutique;L2;N14;FALSE;N14 | BlockL1-EL5
N14-15;Autres maladies de la peau;L2;N14;TRUE;N14 | N14-15
N14-16;Maladies de la peau, sans précision;L2;N14;TRUE;N14 | N14-16
BlockL1-FA0;Arthropathies;L2;N15;FALSE;N15 | BlockL1-FA0
BlockL1-FA7;Affections associées à la colonne vertébrale;L2;N15;FALSE;N15 | BlockL1-FA7
BlockL1-FB3;Atteintes des tissus mous;L2;N15;FALSE;N15 | BlockL1-FB3
BlockL1-FB8;Ostéopathies ou chondropathies;L2;N15;FALSE;N15 | BlockL1-FB8
N15-5;Certaines déformations acquises précisées du système musculosquelettique ou du tissu conjonctif, non classées ailleurs;L2;N15;FALSE;N15 | N15-5
N15-6;Affections du système musculosquelettique après un acte à visée diagnostique ou thérapeutique;L2;N15;FALSE;N15 | N15-6
N15-7;Autres maladies du système musculosquelettique ou du tissu conjonctif;L2;N15;TRUE;N15 | N15-7
N15-8;Maladies du système musculosquelettique ou du tissu conjonctif, sans précision;L2;N15;TRUE;N15 | N15-8
BlockL1-GA0;Maladies de l'appareil génital féminin;L2;N16;FALSE;N16 | BlockL1-GA0
BlockL1-GA8;Maladies de l'appareil génital masculin;L2;N16;FALSE;N16 | BlockL1-GA8
BlockL1-GB2;Affections du sein;L2;N16;FALSE;N16 | BlockL1-GB2
BlockL1-GB4;Maladies de l'appareil urinaire;L2;N16;FALSE;N16 | BlockL1-GB4
BlockL1-GC4;Autres affections de l'appareil génito-urinaire;L2;N16;FALSE;N16 | BlockL1-GC4
BlockL1-GC7;Affections du système génito-urinaire après un acte à visée diagnostique ou thérapeutique;L2;N16;FALSE;N16 | BlockL1-GC7
N16-7;Autres maladies de l'appareil génito-urinaire;L2;N16;TRUE;N16 | N16-7
N16-8;Maladies de l'appareil génito-urinaire, sans précision;L2;N16;TRUE;N16 | N16-8
BlockL1-HA2;Troubles sexuels avec douleurs;L2;N17;FALSE;N17 | BlockL1-HA2
N17-2;Facteurs étiologiques dans les dysfonctionnements sexuels et les troubles sexuels avec douleurs;L2;N17;FALSE;N17 | N17-2
BlockL1-HA6;Incongruence de genre;L2;N17;FALSE;N17 | BlockL1-HA6
N17-4;Autres affections liées à la santé sexuelle;L2;N17;TRUE;N17 | N17-4
N17-5;Affections liées à la santé sexuelle, sans précision;L2;N17;TRUE;N17 | N17-5
BlockL1-JA0;Interruption de la grossesse;L2;N18;FALSE;N18 | BlockL1-JA0
BlockL1-JA2;Œdème, protéinurie ou troubles hypertensifs au cours de la grossesse, de l'accouchement ou de la puerpéralité;L2;N18;FALSE;N18 | BlockL1-JA2
